model,accuracy,macro_f1,weighted_f1,macro_pr_auc,recall_anxiety,prec_anxiety,pr_auc_anxiety,recall_bipolar,prec_bipolar,pr_auc_bipolar,recall_depression,prec_depression,pr_auc_depression,recall_normal,prec_normal,pr_auc_normal,recall_personality disorder,prec_personality disorder,pr_auc_personality disorder,recall_stress,prec_stress,pr_auc_stress,recall_suicidal,prec_suicidal,pr_auc_suicidal
SVM,0.8487055551877111,0.8430623366513302,0.8491018075096021,0.882553876442701,0.9303917839482693,0.9247637051039698,0.9777845285031213,0.9318734793187348,0.9589384076114171,0.9805446504220326,0.6485690235690236,0.6891771019677997,0.7095407049781832,0.9415262636273538,0.7742461287693562,0.9256395499522563,0.9382183908045977,0.9770573566084788,0.9845502393346164,0.8655278142794569,0.9592233009708738,0.9497893309449725,0.6535671100362757,0.6336459554513482,0.6500281309637244
Bi-LSTM,0.8600278090445607,0.8548473787486314,0.8606243484531623,0.8962076579265335,0.9376188664891594,0.9437212863705973,0.9823693783668437,0.9396593673965937,0.9606965174129353,0.9803764969829716,0.6784511784511784,0.6921425504508373,0.7664620299638432,0.9083250743310208,0.8625882352941177,0.9404035026884057,0.9506704980842912,0.9687652513421181,0.9847010321855909,0.8957512045554096,0.9141707644166294,0.963550308016295,0.6759371221281741,0.6421596783457783,0.6555908572817852
BERT,0.7838839965569754,0.7664056408080527,0.7757148849999558,0.879263084939655,0.7447698744769874,0.9310508796956728,0.9323190976853846,0.9479318734793187,0.874326750448833,0.9733539939039811,0.6759259259259259,0.64446227929374,0.7437254844446165,0.9752229930624381,0.6520874751491054,0.9551656966840353,0.8625478927203065,0.9939293598233996,0.9818786836578959,0.8799824791940429,0.7485096870342772,0.9264248451646877,0.33192261185006044,0.716710182767624,0.6419737930369837
